City,Street,Time,value
Boston,WILLIAM T MORRISSEY BOULEVARD,11 PM,0
Boston,SOLDIERS FIELD ROAD,12 AM,1
Boston,SOLDIERS FIELD ROAD,1 AM,2
Boston,SOLDIERS FIELD ROAD,2 AM,1
Boston,SOLDIERS FIELD ROAD,3 AM,2
Boston,SOLDIERS FIELD ROAD,4 AM,0
Boston,SOLDIERS FIELD ROAD,5 AM,2
Boston,SOLDIERS FIELD ROAD,6 AM,0
Boston,SOLDIERS FIELD ROAD,7 AM,4
Boston,SOLDIERS FIELD ROAD,8 AM,7
Boston,SOLDIERS FIELD ROAD,9 AM,2
Boston,SOLDIERS FIELD ROAD,10 AM,2
Boston,SOLDIERS FIELD ROAD,11 AM,5
Boston,SOLDIERS FIELD ROAD,12 PM,2
Boston,SOLDIERS FIELD ROAD,1 PM,5
Boston,SOLDIERS FIELD ROAD,2 PM,5
Boston,SOLDIERS FIELD ROAD,3 PM,4
Boston,SOLDIERS FIELD ROAD,4 PM,3
Boston,SOLDIERS FIELD ROAD,5 PM,6
Boston,SOLDIERS FIELD ROAD,6 PM,2
Boston,SOLDIERS FIELD ROAD,7 PM,3
Boston,SOLDIERS FIELD ROAD,8 PM,2
Boston,SOLDIERS FIELD ROAD,9 PM,1
Boston,SOLDIERS FIELD ROAD,10 PM,0
Boston,SOLDIERS FIELD ROAD,11 PM,1
Boston,DORCHESTER AVENUE,12 AM,6
Boston,DORCHESTER AVENUE,1 AM,5
Boston,DORCHESTER AVENUE,2 AM,3
Boston,DORCHESTER AVENUE,3 AM,0
Boston,DORCHESTER AVENUE,4 AM,1
Boston,DORCHESTER AVENUE,5 AM,0
Boston,DORCHESTER AVENUE,6 AM,2
Boston,DORCHESTER AVENUE,7 AM,3
Boston,DORCHESTER AVENUE,8 AM,3
Boston,DORCHESTER AVENUE,9 AM,4
Boston,DORCHESTER AVENUE,10 AM,2
Boston,DORCHESTER AVENUE,11 AM,1
Boston,DORCHESTER AVENUE,12 PM,1
Boston,DORCHESTER AVENUE,1 PM,3
Boston,DORCHESTER AVENUE,2 PM,4
Boston,DORCHESTER AVENUE,3 PM,2
Boston,DORCHESTER AVENUE,4 PM,5
Boston,DORCHESTER AVENUE,5 PM,2
Boston,DORCHESTER AVENUE,6 PM,6
Boston,DORCHESTER AVENUE,7 PM,1
Boston,DORCHESTER AVENUE,8 PM,0
Boston,DORCHESTER AVENUE,9 PM,4
Boston,DORCHESTER AVENUE,10 PM,1
Boston,DORCHESTER AVENUE,11 PM,1
Boston,Rte 90 E,12 AM,0
Boston,Rte 90 E,1 AM,3
Boston,Rte 90 E,2 AM,1
Boston,Rte 90 E,3 AM,1
Boston,Rte 90 E,4 AM,0
Boston,Rte 90 E,5 AM,1
Boston,Rte 90 E,6 AM,3
Boston,Rte 90 E,7 AM,10
Boston,Rte 90 E,8 AM,3
Boston,Rte 90 E,9 AM,3
Boston,Rte 90 E,10 AM,1
Boston,Rte 90 E,11 AM,2
Boston,Rte 90 E,12 PM,6
Boston,Rte 90 E,1 PM,3
Boston,Rte 90 E,2 PM,1
Boston,Rte 90 E,3 PM,4
Boston,Rte 90 E,4 PM,1
Boston,Rte 90 E,5 PM,4
Boston,Rte 90 E,6 PM,3
Boston,Rte 90 E,7 PM,4
Boston,Rte 90 E,8 PM,1
Boston,Rte 90 E,9 PM,0
Boston,Rte 90 E,10 PM,2
Boston,Rte 90 E,11 PM,0
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,12 AM,0
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,1 AM,0
