City,Type,fall,spring,summer,winter
Quincy,Light Truck,290,254,216,269
Quincy,Bus,3,5,2,6
Quincy,Motorcycle,2,7,11,0
Quincy,MOPED,2,0,2,2
Quincy,Other,0,1,1,1
Quincy,Not Reported,3,9,5,11
Quincy,Unknown Vehicle Configuration,0,2,4,19
Quincy,Single-unit truck,13,6,16,16
Quincy,Motor homerecreational vehicle,0,0,0,0
Quincy,Trucktrailer,4,4,8,5
Somerville,Passenger car,189,197,169,192
Somerville,Light Truck,75,85,69,92
Somerville,Bus,5,3,1,3
Somerville,Motorcycle,1,4,3,0
Somerville,MOPED,0,0,0,1
Somerville,Other,0,1,0,0
Somerville,Not Reported,2,2,4,2
Somerville,Unknown Vehicle Configuration,19,15,14,16
Somerville,Single-unit truck,10,3,14,8
Somerville,Motor homerecreational vehicle,0,0,0,0
Somerville,Trucktrailer,2,1,8,1
Springfield,Passenger car,1625,1527,1427,1442
Springfield,Light Truck,118,97,106,142
Springfield,Bus,28,27,14,25
Springfield,Motorcycle,6,23,26,1
Springfield,MOPED,6,13,13,18
Springfield,Other,5,4,10,1
Springfield,Not Reported,28,21,26,16
Springfield,Unknown Vehicle Configuration,1,2,2,1
Springfield,Single-unit truck,14,20,20,29
Springfield,Motor homerecreational vehicle,0,0,0,1
Springfield,Trucktrailer,10,10,24,9
Taunton,Passenger car,285,269,276,300
Taunton,Light Truck,97,59,96,77
Taunton,Bus,2,5,1,5
Taunton,Motorcycle,4,6,10,0
Taunton,MOPED,0,1,3,0
Taunton,Other,0,0,1,0
Taunton,Not Reported,7,2,1,8
Taunton,Unknown Vehicle Configuration,0,0,0,0
Taunton,Single-unit truck,6,5,6,15
Taunton,Motor homerecreational vehicle,0,0,0,0
Taunton,Trucktrailer,2,0,2,1
Waltham,Passenger car,397,434,416,422
Waltham,Light Truck,103,47,64,47
Waltham,Bus,1,1,0,3
Waltham,Motorcycle,2,4,10,1
Waltham,MOPED,1,1,1,3
Waltham,Other,0,0,0,0
Waltham,Not Reported,3,1,1,0
Waltham,Unknown Vehicle Configuration,0,0,1,0
Waltham,Single-unit truck,8,9,10,12
Waltham,Motor homerecreational vehicle,0,0,0,0
Waltham,Trucktrailer,1,2,3,2
Worcester,Passenger car,1477,1160,1102,1286
Worcester,Light Truck,630,485,470,611
Worcester,Bus,20,16,16,10
Worcester,Motorcycle,9,27,24,3
Worcester,MOPED,1,1,2,4
Worcester,Other,2,5,6,0
Worcester,Not Reported,67,90,75,102
Worcester,Unknown Vehicle Configuration,95,24,25,52
Worcester,Single-unit truck,32,9,28,25
Worcester,Motor homerecreational vehicle,0,1,0,0
Worcester,Trucktrailer,15,8,6,7
