City,Street,fall,spring,summer,winter
Plymouth,SAMOSET STREET,11,11,13,7
Plymouth,Rte 3 N,13,6,9,5
Plymouth,COURT STREET,11,5,4,8
Plymouth,COMMERCE WAY,9,2,3,8
Plymouth,STANDISH AVENUE,6,4,5,3
Plymouth,SOUTH STREET,1,5,2,8
Plymouth,CARVER ROAD,7,1,3,4
Quincy,HANCOCK STREET,51,51,38,58
Quincy,Rte 93 S,20,31,23,19
Quincy,HONORABLE THOMAS S BURGIN PARKWAY,16,25,17,17
Quincy,SOUTHERN ARTERY,15,15,10,29
Quincy,QUINCY AVENUE,22,16,10,15
Quincy,Rte 93 N,12,16,18,13
Quincy,WASHINGTON STREET,1,20,15,20
Quincy,QUINCY SHORE DRIVE,6,10,6,18
Quincy,FURNACE BROOK PARKWAY,8,7,5,13
Quincy,SEA STREET,2,12,4,11
Somerville,BROADWAY,12,21,28,17
Somerville,HIGHLAND AVENUE,13,8,7,13
Somerville,SOMERVILLE AVENUE,5,14,11,3
Somerville,WASHINGTON STREET,10,7,6,9
Somerville,Rte 93 S,5,6,6,10
Somerville,Rte 93 N,5,5,6,6
Somerville,BEACON STREET,5,8,5,1
Somerville,SUMMER STREET,4,2,3,9
Somerville,MYSTIC AVENUE,6,6,2,4
Somerville,MEDFORD STREET,3,,5,6
Springfield,BOSTON RD,54,50,38,35
Springfield,STATE ST,43,41,44,39
Springfield,SUMNER AVE,40,31,26,35
Springfield,MAIN ST,29,25,28,28
Springfield,WILBRAHAM RD,30,25,33,20
Springfield,Rte 91 N,27,19,22,18
Springfield,PARKER ST,27,24,16,16
Springfield,ALLEN ST,33,15,17,13
Springfield,ST JAMES AVE,25,19,21,13
Springfield,CAREW ST,27,22,12,14
Taunton,BAY ST,11,10,13,6
Taunton,BROADWAY,4,7,13,12
Taunton,COUNTY ST,10,9,7,9
Taunton,TREMONT ST,6,5,8,6
Taunton,WASHINGTON ST,6,7,7,5
Taunton,Rte 24 S,5,3,5,7
Taunton,WINTHROP ST,7,2,6,5
Taunton,Rte 140 N,7,2,6,3
Taunton,COHANNET ST,5,5,2,2
Taunton,Rte 495 S,4,1,5,4
Waltham,LEXINGTON ST,26,24,17,12
Waltham,MAIN ST,18,26,22,12
Waltham,Rte 95 N,13,11,10,13
Waltham,Rte 95 S,13,6,18,10
Waltham,MOODY ST,10,11,13,8
Waltham,SOUTH ST,10,6,8,6
Waltham,TRAPELO RD,10,5,7,6
Waltham,LEXINGTON STREET,5,7,3,9
Waltham,MAIN STREET,5,7,8,4
Waltham,BACON ST,5,5,8,4
Worcester,MAIN STREET,66,44,63,63
Worcester,PARK AVENUE,50,32,33,45
Worcester,BELMONT STREET,41,41,24,34
Worcester,CHANDLER STREET,40,30,34,36
Worcester,GRAFTON STREET,34,27,28,38
Worcester,LINCOLN STREET,20,33,26,40
Worcester,Rte 290 E,38,17,19,28
Worcester,Rte 290 W,24,25,18,29
Worcester,PLEASANT STREET,25,23,29,19
Worcester,HIGHLAND STREET,25,28,16,25
